pl_name,pl_letter,hostname,gaia_id,disc_locale,ra,dec,pl_orbper,st_spectype,pl_rade,pl_masse,st_lum,sy_dist,sky_coord.ra,sky_coord.dec
BD-08 2823 c,c,BD-08 2823,Gaia DR2 3770419611540574080,Ground,150.1971964,-9.5165689,237.6,K3 V,5.724894179894178,2150.007277597172,-0.13825308641975315,41.3342,150.1971964,-9.5165689
GJ 667 C f,f,GJ 667 C,Gaia DR2 5975663354131618304,Ground,259.7510609,-34.9977651,39.026,M1.5 V,5.724894179894178,2150.007277597172,-1.863,7.24396,259.7510609,-34.9977651
GJ 667 C g,g,GJ 667 C,Gaia DR2 5975663354131618304,Ground,259.7510609,-34.9977651,256.2,M1.5 V,5.724894179894178,2150.007277597172,-1.863,7.24396,259.7510609,-34.9977651
HD 48948 b,b,HD 48948,Gaia DR2 1003351437484254464,Ground,102.489811,60.3373133,7.34013,K3 V,5.724894179894178,2150.007277597172,-0.13825308641975315,16.9043,102.489811,60.3373133
HD 48948 c,c,HD 48948,Gaia DR2 1003351437484254464,Ground,102.489811,60.3373133,38.06,K3 V,5.724894179894178,2150.007277597172,-0.13825308641975315,16.9043,102.489811,60.3373133
HD 48948 d,d,HD 48948,Gaia DR2 1003351437484254464,Ground,102.489811,60.3373133,151.92,K3 V,5.724894179894178,2150.007277597172,-0.13825308641975315,16.9043,102.489811,60.3373133
TOI-199 c,c,TOI-199,Gaia DR2 4762582895440787712,Multiple Locales,80.1058735,-59.8954326,273.69,G9 V,5.724894179894178,88.99195,-0.338,102.27,80.1058735,-59.8954326
HD 132563 b,b,HD 132563,Gaia DR2 1585765117538284800,Ground,224.5892892,44.0428571,1544.0,Unknown,5.724894179894178,2150.007277597172,0.374,105.155,224.5892892,44.0428571
CHXR 73 b,b,CHXR 73,Gaia DR2 5201175987817179136,Space,166.6193985,-77.6258725,962.4,M3.5,5.724894179894178,3994.486,-0.13825308641975315,190.374,166.6193985,-77.6258725
alf Ari b,b,alf Ari,Unknown,Ground,31.793286,23.462421,380.8,Unknown,5.724894179894178,2150.007277597172,-0.13825308641975315,20.21019,31.793286,23.462421
