Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
0,earth,sun,0,0,-26.74,0
1,OGLE-TR-10 b,OGLE-TR-10,267.8677483,-29.8764758,15.6845,1344.97
2,BD-08 2823 b,BD-08 2823,150.1971964,-9.5165689,9.50331,41.3342
3,BD-08 2823 c,BD-08 2823,150.1971964,-9.5165689,9.50331,41.3342
4,HD 104985 b,HD 104985,181.3157854,76.9053359,5.49698,100.576
5,bet Pic b,bet Pic,86.8212337,-51.066148,3.82015,19.7442
6,4 UMa b,4 UMa,130.0528099,64.3280504,4.23773,73.4603
7,kap CrB b,kap CrB,237.8080012,35.6558818,4.52428,30.0651
8,14 And b,14 And,352.82415,39.2358367,4.91781,75.4392
9,18 Del b,18 Del,314.6078375,10.8391378,5.27476,76.222
10,81 Cet b,81 Cet,39.4243555,-3.3963607,5.37588,101.26
11,HD 81688 b,HD 81688,142.1665753,45.6009241,5.12598,85.7183
12,xi Aql b,xi Aql,298.5624491,8.4611051,4.42501,56.1858
13,HD 180314 b,HD 180314,288.7094401,31.8604391,6.34583,122.362
14,HD 208897 b,HD 208897,329.7490639,19.0201591,6.23739,67.4872
15,HD 147379 b,HD 147379,244.1725686,67.2392041,7.90052,10.7643
16,HD 47366 c,HD 47366,99.4200181,-12.9856593,5.83869,84.3552
17,6 Lyn b,6 Lyn,97.6960311,58.1611753,5.60686,54.6599
18,gam Lib b,gam Lib,233.8818636,-14.789502,3.64937,47.4017
19,gam Lib c,gam Lib,233.8818636,-14.789502,3.64937,47.4017
20,HD 110014 b,HD 110014,189.8111935,-7.9956702,4.31048,100.758
21,KOI-13 b,KOI-13,286.9713876,46.8682463,10.3678,519.096
22,Kepler-44 b,Kepler-44,300.1023512,45.7621918,14.6901,1188
23,GJ 667 C b,GJ 667 C,259.7510609,-34.9977651,9.38033,7.24396
24,GJ 667 C c,GJ 667 C,259.7510609,-34.9977651,9.38033,7.24396
25,WASP-62 b,WASP-62,87.1398205,-63.9883286,10.0721,175.631
26,GJ 667 C f,GJ 667 C,259.7510609,-34.9977651,9.38033,7.24396
27,GJ 667 C g,GJ 667 C,259.7510609,-34.9977651,9.38033,7.24396
28,HAT-P-7 b,HAT-P-7,292.24719,47.9695429,10.3654,341.079
29,WASP-74 b,WASP-74,304.538843,-1.0760033,9.5723,149.216
30,KELT-7 b,KELT-7,78.2955912,33.3179532,8.45173,136.681
31,HATS-61 b,HATS-61,61.6578005,-25.3496674,13.0682,679.761
32,HATS-63 b,HATS-63,67.418582,-28.1972149,13.7213,623.232
33,HATS-18 b,HATS-18,173.9574203,-29.1560639,13.8786,624.368
34,HD 108236 e,HD 108236,186.5740627,-51.3630519,9.08745,64.5978
35,HD 108236 c,HD 108236,186.5740627,-51.3630519,9.08745,64.5978
36,WASP-76 b,WASP-76,26.632936,2.700389,9.39507,194.459
37,HATS-60 b,HATS-60,341.3640336,-14.9917747,12.5004,486.474
38,HATS-68 b,HATS-68,15.006077,-58.9047242,12.1631,603.955
39,HATS-66 b,HATS-66,101.3948048,-33.8816918,14.0086,1477.98
40,HATS-67 b,HATS-67,180.2087883,-46.1364201,13.5596,960.109
41,HATS-64 b,HATS-64,144.2876092,-29.800444,12.839,1080.15
42,HATS-65 b,HATS-65,292.9397825,-26.7402021,12.3793,493.32
43,51 Eri b,51 Eri,69.4007424,-2.4738245,5.15806,29.7575
44,HD 108236 b,HD 108236,186.5740627,-51.3630519,9.08745,64.5978
45,HD 108236 d,HD 108236,186.5740627,-51.3630519,9.08745,64.5978
